country,year,Secondary income,inflation,education,unemployment rate,GDP growth rate
India,2008,1813,8.3,37.2959735,5.57,12.56445127
India,2009,1191,10.9,37.2959735,5.64,15.45577634
India,2010,2173,12,33.4392988,5.6,19.91806367
India,2011,2424,8.9,33.4392988,5.65,14.48252717
India,2012,2276,9.3,33.4392988,5.67,13.77411697
India,2013,2058,10.9,33.4392988,5.61,12.96768713
India,2014,1825,6.4,33.4392988,5.57,10.98887529
India,2015,2064,5.9,29.9222128,5.51,10.45812354
India,2016,1649,4.9,29.9222128,5.42,11.76161756
India,2017,1680,2.5,29.9222128,5.33,11.03436765
India,2018,2074,4.9,29.9222128,5.36,10.51439492
India,2019,2474,7.7,29.9222128,5.36,7.751677489
India,2020,1605,5.6,26.706188,5.4,-4.371534669
Japan,2006,9507,0.2,6.4311205,4.141667,0.4985207
Japan,2007,9891,0.1,6.4311205,3.841667,0.76824158
Japan,2008,10509,1.4,6.4311205,3.991667,-2.124641375
Japan,2009,5275,-1.4,6.4311205,5.066667,-6.230374606
Japan,2010,4514,-0.7,5.2241758,5.05,2.140104708
Japan,2011,6132,-0.3,5.2241758,4.583333,-1.598656936
Japan,2012,6641,-0.1,5.2241758,4.35,0.608283585
Japan,2013,6127,0.3,5.2241758,4.025,1.643599238
Japan,2014,5489,2.8,5.2241758,3.591667,1.987514856
Japan,2015,4503,0.8,4.0632141,3.375,3.704855197
Japan,2016,5483,-0.1,4.0632141,3.116667,1.176936775
Japan,2017,5628,0.5,4.0632141,2.808333,1.599736647
Japan,2018,7340,1,4.0632141,2.441667,0.563506083
Japan,2019,7309,0.5,4.0632141,2.35,0.653931681
Japan,2020,4248,0,3.1328512,2.775,-3.827550542
Russia,2006,3008,9.7,2.32E-08,6,8.2
Russia,2007,2645,9,2.32E-08,6.21,8.5
Russia,2008,3705,14.1,2.32E-08,8.3,5.2
Russia,2009,1539,11.6,2.32E-08,7.37,-7.8
Russia,2010,2035,6.8,2.32E-08,6.54,4.5
Russia,2011,3598,8.4,2.32E-08,5.44,4.3
Russia,2012,3096,5.1,2.32E-08,5.46,4
Russia,2013,2482,6.8,2.32E-08,5.16,1.8
Russia,2014,1857,7.8,2.32E-08,5.57,0.7
Russia,2015,1556,15.5,2.32E-08,5.58,-2
Russia,2016,1124,7,2.32E-08,5.21,3.043451612
Russia,2017,1215,3.7,2.32E-08,4.85,7.273248589
Russia,2018,2367,2.9,2.32E-08,4.59,13.08589278
Russia,2019,2285,4.5,2.32E-08,4.58,5.179857385
Russia,2020,-527,3.4,2.32E-08,4.43,-2.081696281
Switzerland,2006,8578,1.1,1.64E-07,4.803483,6.384899113
Switzerland,2007,11772,0.7,1.64E-07,4.803483,6.526250566
Switzerland,2008,10577,2.4,1.64E-07,4.803483,4.144795858
Switzerland,2009,4538,-0.5,1.64E-07,4.803483,-1.64588556
Switzerland,2010,7142,0.7,1.64E-07,4.803483,3.534338672
Switzerland,2011,7503,0.2,1.64E-07,4.401403,1.930197491
Switzerland,2012,6760,-0.7,1.64E-07,4.48394,1.303641811
Switzerland,2013,6371,-0.2,1.64E-07,4.746688,1.826619116
Switzerland,2014,3410,0,1.64E-07,4.829303,1.816160686
Switzerland,2015,4756,-1.1,1.64E-07,4.80018,0.397130555
Switzerland,2016,5371,-0.4,1.64E-07,4.918711,1.40608
Switzerland,2017,7203,0.5,1.64E-07,4.797114,1.267131948
Switzerland,2018,6572,0.9,1.64E-07,4.714227,3.769857318
Switzerland,2019,10454,0.4,1.64E-07,4.394452,1.039151994
Switzerland,2020,3231,-0.7,1.64E-07,4.815328,-3.555908494
USA,2006,60188,3.2,0.3752429,4.616667,5.967581977
USA,2007,69503,2.9,0.3752429,4.616667,4.612870332
USA,2008,64947,3.8,0.3752429,5.775,1.805899158
USA,2009,42378,-0.4,0.3752429,9.266666,-1.793755728
USA,2010,36733,1.6,0.3043373,9.616667,3.758890146
USA,2011,47941,3.2,0.3043373,8.95,3.67214408
USA,2012,39649,2.1,0.3043373,8.066667,4.210532784
USA,2013,39101,1.5,0.3043373,7.375,3.629332511
USA,2014,36872,1.6,0.3043373,6.166667,4.423082291
USA,2015,34377,0.1,0.2492241,5.291667,4.056782526
USA,2016,28201,1.3,0.2492241,4.866667,2.77862779
USA,2017,48135,2.1,0.2492241,4.35,4.256605955
USA,2018,54885,2.4,0.2492241,3.9,5.469388636
USA,2019,56840,1.8,0.2492241,3.666667,3.98491553
USA,2020,34888,1.2,0.2046988,8.091666,-2.317277129
EU,2006,6104,2.3,1.693330241,8.691667,3.4
EU,2007,3769,2.4,1.693330241,7.516667,3.152
EU,2008,4753,3.7,1.693330241,7.258333,0.645
EU,2009,3630,0.8,1.693330241,9.2,-4.3
EU,2010,3856,1.8,1.393385963,9.925,2.2
EU,2011,3320,2.9,1.393385963,9.933333,1.8
EU,2012,4135,2.6,1.393385963,10.93333,-0.4
EU,2013,4657,1.3,1.393385963,11.44167,0.3
EU,2014,4360,0.4,1.393385963,10.9,1.8
EU,2015,4571,0.1,1.130619796,10.06667,2.3
EU,2016,4599,0.2,1.130619796,9.15,2.1
EU,2017,4597,1.6,1.130619796,8.158334,2.8
EU,2018,4675,1.8,1.130619796,7.283333,2.1
EU,2019,5169,1.4,1.130619796,6.716667,1.6
EU,2020,4675,0.7,0.91334013,7.15,-6.1
