country,year,Export of service,inflation,education,unemployment rate,GDP growth rate
Japan,2017,6257,0.5,4.0632141,2.808333,1.599736647
Japan,2018,6952,1,4.0632141,2.441667,0.563506083
Japan,2019,6869,0.5,4.0632141,2.35,0.653931681
Japan,2020,6351,0,3.1328512,2.775,-3.827550542
Russia,2006,1664,9.7,2.32E-08,6,8.2
Russia,2007,1794,9,2.32E-08,6.21,8.5
Russia,2008,1732,14.1,2.32E-08,8.3,5.2
Russia,2009,1489,11.6,2.32E-08,7.37,-7.8
Russia,2010,1510,6.8,2.32E-08,6.54,4.5
Russia,2011,2006,8.4,2.32E-08,5.44,4.3
Russia,2012,1883,5.1,2.32E-08,5.46,4
Russia,2013,2399,6.8,2.32E-08,5.16,1.8
Russia,2014,2568,7.8,2.32E-08,5.57,0.7
Russia,2015,2242,15.5,2.32E-08,5.58,-2
Russia,2016,2070,7,2.32E-08,5.21,3.043451612
Russia,2017,2410,3.7,2.32E-08,4.85,7.273248589
Russia,2018,2415,2.9,2.32E-08,4.59,13.08589278
Russia,2019,2565,4.5,2.32E-08,4.58,5.179857385
Russia,2020,2229,3.4,2.32E-08,4.43,-2.081696281
Switzerland,2006,5756,1.1,1.64E-07,4.803483,6.384899113
Switzerland,2007,6331,0.7,1.64E-07,4.803483,6.526250566
Switzerland,2008,6273,2.4,1.64E-07,4.803483,4.144795858
Switzerland,2009,8503,-0.5,1.64E-07,4.803483,-1.64588556
Switzerland,2010,8525,0.7,1.64E-07,4.803483,3.534338672
Switzerland,2011,8580,0.2,1.64E-07,4.401403,1.930197491
Switzerland,2012,8420,-0.7,1.64E-07,4.48394,1.303641811
Switzerland,2013,10853,-0.2,1.64E-07,4.746688,1.826619116
Switzerland,2014,10282,0,1.64E-07,4.829303,1.816160686
Switzerland,2015,10238,-1.1,1.64E-07,4.80018,0.397130555
Switzerland,2016,11973,-0.4,1.64E-07,4.918711,1.40608
Switzerland,2017,12552,0.5,1.64E-07,4.797114,1.267131948
Switzerland,2018,14570,0.9,1.64E-07,4.714227,3.769857318
Switzerland,2019,11817,0.4,1.64E-07,4.394452,1.039151994
Switzerland,2020,10416,-0.7,1.64E-07,4.815328,-3.555908494
USA,2006,34231,3.2,0.3752429,4.616667,5.967581977
USA,2007,36298,2.9,0.3752429,4.616667,4.612870332
USA,2008,37644,3.8,0.3752429,5.775,1.805899158
USA,2009,36692,-0.4,0.3752429,9.266666,-1.793755728
USA,2010,36619,1.6,0.3043373,9.616667,3.758890146
USA,2011,44781,3.2,0.3043373,8.95,3.67214408
USA,2012,47030,2.1,0.3043373,8.066667,4.210532784
USA,2013,53565,1.5,0.3043373,7.375,3.629332511
USA,2014,55071,1.6,0.3043373,6.166667,4.423082291
USA,2015,55215,0.1,0.2492241,5.291667,4.056782526
USA,2016,61669,1.3,0.2492241,4.866667,2.77862779
USA,2017,67699,2.1,0.2492241,4.35,4.256605955
USA,2018,75494,2.4,0.2492241,3.9,5.469388636
USA,2019,79709,1.8,0.2492241,3.666667,3.98491553
USA,2020,72719,1.2,0.2046988,8.091666,-2.317277129
EU,2006,64880,2.3,1.693330241,8.691667,3.4
EU,2007,69637,2.4,1.693330241,7.516667,3.152
EU,2008,72965,3.7,1.693330241,7.258333,0.645
EU,2009,72215,0.8,1.693330241,9.2,-4.3
EU,2010,74149,1.8,1.393385963,9.925,2.2
EU,2011,82334,2.9,1.393385963,9.933333,1.8
EU,2012,82942,2.6,1.393385963,10.93333,-0.4
EU,2013,86476,1.3,1.393385963,11.44167,0.3
EU,2014,88072,0.4,1.393385963,10.9,1.8
EU,2015,92310,0.1,1.130619796,10.06667,2.3
EU,2016,103311,0.2,1.130619796,9.15,2.1
EU,2017,114367,1.6,1.130619796,8.158334,2.8
EU,2018,125287,1.8,1.130619796,7.283333,2.1
EU,2019,120622,1.4,1.130619796,6.716667,1.6
EU,2020,98510,0.7,0.91334013,7.15,-6.1
